Entity,Code_x,Year, Engaged in religious/spiritual activities when anxious/depressed,Improved healthy lifestyle behaviors when anxious/depressed,Made a change to work situation when anxious/depressed,Made a change to personal relationships when anxious/depressed,Talked to friends or family when anxious/depressed,Took prescribed medication when anxious/depressed,Spent time in nature/the outdoors when anxious/depressed ,Talked to mental health professional when anxious/depressed,Code_y,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Albania,ALB,2020,36.1776,67.716934,39.660843,54.192497,86.524994,40.897434,88.64183,34.499058,ALB,,13256.125,2866850.0,
Argentina,ARG,2020,48.529037,73.14098,52.18955,73.66945,71.9629,37.718056,80.908936,48.319183,ARG,,19685.217,45036032.0,
Australia,AUS,2020,19.388412,78.53241,55.528122,58.101604,83.661896,71.37634,79.70587,75.43173,AUS,,48747.85,25670052.0,
Austria,AUT,2020,33.628178,82.49303,61.855377,47.036987,87.92614,57.572258,79.15044,70.524086,AUT,,51988.414,8907780.0,
Bahrain,BHR,2020,51.516064,71.672745,49.27055,67.351326,79.08222,35.087814,76.39494,30.742939,BHR,,47847.84,1477478.0,
Bangladesh,BGD,2020,46.563572,40.80793,50.399834,37.928905,65.628235,18.87141,47.59459,15.696865,BGD,,5591.374,167420944.0,
Belgium,BEL,2020,14.50429,62.56355,46.59995,50.655163,76.020325,64.07484,73.97376,71.84577,BEL,,48978.934,11561716.0,
Benin,BEN,2020,73.41682,69.37909,53.539635,61.5533,87.50481,59.201405,58.62989,37.806496,BEN,,3186.478,12643121.0,
Bolivia,BOL,2020,47.506245,81.65489,61.071293,68.96559,81.56846,41.01212,83.14835,23.934847,BOL,,7679.933,11936169.0,
Bosnia and Herzegovina,BIH,2020,38.396427,73.94008,37.992146,66.66177,89.42567,62.897697,83.90577,64.30106,BIH,,14358.987,3318410.0,
Brazil,BRA,2020,53.729458,72.57038,51.045258,74.34573,71.42405,44.71939,64.1756,46.255623,BRA,,14021.958,213196304.0,
Bulgaria,BGR,2020,6.6898265,67.26316,50.637257,60.67117,85.093575,41.78128,78.67587,37.275566,BGR,,22483.598,6979181.0,
Burkina Faso,BFA,2020,71.650955,70.91007,49.32151,59.11512,81.40154,52.244404,57.08445,39.494617,BFA,,2093.7336,21522632.0,
Cameroon,CMR,2020,63.568485,79.35599,66.97163,75.16382,86.43171,52.659348,76.7072,35.662895,CMR,,3665.5105,26491090.0,
Canada,CAN,2020,29.156185,83.78147,56.140034,60.003414,84.21834,72.9736,82.182236,77.61447,CAN,,46064.254,37888704.0,
Chile,CHL,2020,29.442854,76.449104,41.274147,74.81275,84.13164,61.50862,73.08272,66.788216,CHL,,23017.69,19300318.0,
China,CHN,2020,18.761171,69.90329,42.258675,51.827423,63.353428,32.706,66.57247,34.952682,CHN,,16296.779,1424929792.0,
Colombia,COL,2020,59.967686,74.10246,60.171284,78.51473,85.64458,40.58397,82.57514,33.10809,COL,,13387.701,50930656.0,
Congo,COG,2020,72.28799,72.747696,52.24882,64.94808,79.193275,48.305004,63.72878,35.24628,COG,,3384.6543,5702183.0,
Costa Rica,CRI,2020,55.38973,77.87039,54.79042,72.49933,75.73848,42.244644,80.45617,43.858498,CRI,,19824.348,5123107.0,
Cote d'Ivoire,CIV,2020,60.910683,61.929512,36.468803,53.974735,81.8161,45.18166,57.989788,18.839119,CIV,,5098.56,26811792.0,
